ingredient_name,price_date,price_per_kg_rwf,market_location
Cassava meal,2011-12-15,350.0,Eastern Province / Bugesera / Batiment
Cassava meal,2012-07-15,300.0,Eastern Province / Bugesera / Batiment
Cassava meal,2012-08-15,300.0,Eastern Province / Bugesera / Batiment
Cassava meal,2012-09-15,300.0,Eastern Province / Bugesera / Batiment
Cassava meal,2012-10-15,300.0,Eastern Province / Bugesera / Batiment
Cassava meal,2011-12-15,120.0,Eastern Province / Bugesera / Kinazi
Cassava meal,2010-07-15,126.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2010-08-15,128.75,Eastern Province / Bugesera / Nyamata
Cassava meal,2010-09-15,127.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2010-10-15,105.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2010-11-15,133.75,Eastern Province / Bugesera / Nyamata
Cassava meal,2010-12-15,105.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-01-15,105.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-02-15,116.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-03-15,114.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-04-15,168.25,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-05-15,130.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-06-15,146.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-07-15,134.25,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-08-15,131.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-09-15,130.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-10-15,132.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-11-15,137.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2011-12-15,134.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-01-15,136.75,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-02-15,133.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-03-15,169.25,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-04-15,193.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-05-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-06-15,176.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-07-15,248.25,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-08-15,257.4,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-09-15,350.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-10-15,350.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-11-15,230.75,Eastern Province / Bugesera / Nyamata
Cassava meal,2012-12-15,195.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-01-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-02-15,214.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-03-15,225.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-04-15,248.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-05-15,230.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-06-15,244.25,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-07-15,245.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-08-15,225.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-09-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-10-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-11-15,222.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2013-12-15,221.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-01-15,201.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-02-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-03-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-04-15,229.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-05-15,225.75,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-06-15,265.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-07-15,233.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-08-15,246.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-09-15,236.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-10-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-11-15,197.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2014-12-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-01-15,182.5,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-02-15,156.67,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-03-15,164.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-04-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-05-15,233.33,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-06-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-07-15,200.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-09-15,220.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2015-10-15,198.0,Eastern Province / Bugesera / Nyamata
Cassava meal,2008-01-15,140.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-02-15,122.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-04-15,130.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-05-15,110.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-06-15,140.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-07-15,125.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-08-15,102.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-09-15,110.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-11-15,130.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2008-12-15,107.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-01-15,126.25,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-04-15,152.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-05-15,130.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-06-15,130.83,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-07-15,141.12,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-08-15,141.67,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-09-15,128.96,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-10-15,174.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-11-15,180.62,Eastern Province / Bugesera / Ruhuha
Cassava meal,2009-12-15,184.58,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-01-15,171.25,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-02-15,197.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-04-15,161.88,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-05-15,141.25,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-06-15,161.25,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-07-15,129.83,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-08-15,123.54,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-09-15,123.33,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-10-15,112.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-11-15,113.12,Eastern Province / Bugesera / Ruhuha
Cassava meal,2010-12-15,96.75,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-01-15,86.25,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-03-15,122.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-04-15,136.75,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-05-15,140.75,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-06-15,150.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-07-15,127.5,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-08-15,150.0,Eastern Province / Bugesera / Ruhuha
Cassava meal,2011-09-15,131.4,Eastern Province / Bugesera / Ruhuha
