ingredient_name,price_date,price_per_kg_rwf,market_location
Cassava meal,2024-01-15,385.42,Rwanda
Cassava meal,2024-02-15,358.33,Rwanda
Cassava meal,2024-03-15,343.18,Rwanda
Cassava meal,2024-04-15,390.0,Rwanda
Cassava meal,2024-05-15,369.44,Rwanda
Cassava meal,2024-06-15,362.5,Rwanda
Cassava meal,2024-07-15,365.62,Rwanda
Cassava meal,2024-08-15,335.42,Rwanda
Cassava meal,2024-09-15,326.28,Rwanda
Cassava meal,2024-10-15,342.69,Rwanda
Cassava meal,2024-11-15,364.1,Rwanda
Cassava meal,2024-12-15,365.93,Rwanda
Cassava meal,2025-01-15,399.11,Rwanda
Cassava meal,2025-02-15,404.17,Rwanda
Cassava meal,2025-03-15,393.18,Rwanda
Cassava meal,2025-04-15,394.29,Rwanda
Cassava meal,2025-05-15,357.81,Rwanda
Cassava meal,2025-06-15,332.29,Rwanda
Cassava meal,2025-07-15,391.52,Rwanda
Cassava meal,2025-08-15,347.92,Rwanda
Cassava meal,2025-09-15,372.37,Rwanda
Cassava meal,2025-10-15,345.52,Rwanda
Cassava meal,2025-12-15,355.14,Rwanda
Cassava meal,2026-01-15,425.25,Rwanda
Cassava meal,2026-02-15,436.19,Rwanda
Cassava meal,2026-04-15,414.1,Rwanda
Crude palm oil,2024-01-15,2600.73,Rwanda
Crude palm oil,2024-02-15,2710.62,Rwanda
Crude palm oil,2024-03-15,2863.25,Rwanda
Crude palm oil,2024-04-15,2505.49,Rwanda
Crude palm oil,2024-05-15,2506.54,Rwanda
Crude palm oil,2024-06-15,2545.79,Rwanda
Crude palm oil,2024-07-15,2916.31,Rwanda
Crude palm oil,2024-08-15,2872.6,Rwanda
Crude palm oil,2024-09-15,2981.12,Rwanda
Crude palm oil,2024-10-15,3028.64,Rwanda
Crude palm oil,2024-11-15,2694.76,Rwanda
Crude palm oil,2024-12-15,3009.16,Rwanda
Crude palm oil,2025-01-15,2565.02,Rwanda
Crude palm oil,2025-02-15,3087.91,Rwanda
Crude palm oil,2025-03-15,3148.52,Rwanda
Crude palm oil,2025-04-15,3408.43,Rwanda
Crude palm oil,2025-05-15,3303.57,Rwanda
Crude palm oil,2025-06-15,3144.95,Rwanda
Crude palm oil,2025-07-15,3333.99,Rwanda
Crude palm oil,2025-08-15,3315.02,Rwanda
Crude palm oil,2025-09-15,3475.58,Rwanda
Crude palm oil,2025-10-15,3137.97,Rwanda
Crude palm oil,2025-12-15,3059.92,Rwanda
Crude palm oil,2026-01-15,3298.01,Rwanda
Crude palm oil,2026-02-15,3482.79,Rwanda
Crude palm oil,2026-04-15,3566.85,Rwanda
Fishmeal (65% CP),2024-01-15,2541.11,Rwanda
Fishmeal (65% CP),2024-02-15,2603.7,Rwanda
Fishmeal (65% CP),2024-03-15,2878.33,Rwanda
Fishmeal (65% CP),2024-04-15,3164.44,Rwanda
Fishmeal (65% CP),2024-05-15,3345.1,Rwanda
Fishmeal (65% CP),2024-06-15,3790.48,Rwanda
Fishmeal (65% CP),2024-07-15,3900.0,Rwanda
Fishmeal (65% CP),2024-08-15,4221.81,Rwanda
Fishmeal (65% CP),2024-09-15,4998.67,Rwanda
Fishmeal (65% CP),2024-10-15,4194.12,Rwanda
Fishmeal (65% CP),2024-11-15,3449.54,Rwanda
Fishmeal (65% CP),2024-12-15,3311.67,Rwanda
Fishmeal (65% CP),2025-01-15,3251.79,Rwanda
Fishmeal (65% CP),2025-02-15,3206.55,Rwanda
Fishmeal (65% CP),2025-03-15,3234.31,Rwanda
Fishmeal (65% CP),2025-04-15,3401.41,Rwanda
Fishmeal (65% CP),2025-05-15,3408.97,Rwanda
Fishmeal (65% CP),2025-06-15,3404.1,Rwanda
Fishmeal (65% CP),2025-07-15,3428.9,Rwanda
Fishmeal (65% CP),2025-08-15,3951.94,Rwanda
Fishmeal (65% CP),2025-09-15,3770.27,Rwanda
Fishmeal (65% CP),2025-10-15,4049.33,Rwanda
Fishmeal (65% CP),2025-12-15,3795.24,Rwanda
Fishmeal (65% CP),2026-01-15,3543.68,Rwanda
Fishmeal (65% CP),2026-02-15,3535.65,Rwanda
Fishmeal (65% CP),2026-04-15,3788.42,Rwanda
Sodium chloride (salt),2024-01-15,420.15,Rwanda
Sodium chloride (salt),2024-02-15,439.81,Rwanda
Sodium chloride (salt),2024-03-15,450.53,Rwanda
Sodium chloride (salt),2024-04-15,453.27,Rwanda
